mode,device_id,gpu_name,compute_capability,precision,input_type,accumulator_type,output_type,m,n,k,median_ms,p90_ms,throughput,unit,best,validation,status,algorithm,workspace_bytes,message
isolated,4,NVIDIA GeForce RTX 5090 D v2,12.0,int4,,,,0,0,0,0.000000,0.000000,0.000000,,False,NOT_RUN,UNSUPPORTED,,0,"cuBLASLt does not provide a dense INT4 GEMM kernel; INT4 Tensor Core is used via inference frameworks (CUTLASS/quantized paths), not standard dense GEMM APIs"
isolated,4,NVIDIA GeForce RTX 5090 D v2,12.0,int8,INT8,INT32,INT32,4096,4096,4096,0.206592,0.372320,665.267570,TOPS,True,PASS,OK,cuBLASLt algo 21 layout=TN per-tensor scale,0,"actual=4096, expected=4096, tolerance=1e-06"
isolated,4,NVIDIA GeForce RTX 5090 D v2,12.0,int8,INT8,INT32,INT32,8192,8192,8192,1.970848,1.992288,557.887593,TOPS,False,PASS,OK,cuBLASLt algo 21 layout=TN per-tensor scale,0,"actual=8192, expected=8192, tolerance=1e-06"
isolated,4,NVIDIA GeForce RTX 5090 D v2,12.0,int8,INT8,INT32,INT32,16384,16384,16384,15.440384,15.451712,569.680979,TOPS,False,PASS,OK,cuBLASLt algo 21 layout=TN per-tensor scale,0,"actual=16384, expected=16384, tolerance=1e-06"
isolated,4,NVIDIA GeForce RTX 5090 D v2,12.0,fp8_e4m3,FP8_E4M3,FP32,FP16,4096,4096,4096,0.208032,0.398464,660.662568,TFLOPS,True,PASS,OK,cuBLASLt algo 67 layout=TN per-tensor scale,0,"actual=1024, expected=1024, tolerance=30.72"
isolated,4,NVIDIA GeForce RTX 5090 D v2,12.0,fp8_e4m3,FP8_E4M3,FP32,FP16,8192,8192,8192,1.960544,1.964640,560.819667,TFLOPS,False,PASS,OK,cuBLASLt algo 67 layout=TN per-tensor scale,0,"actual=2048, expected=2048, tolerance=61.44"
isolated,4,NVIDIA GeForce RTX 5090 D v2,12.0,fp8_e4m3,FP8_E4M3,FP32,FP16,16384,16384,16384,15.438400,15.447616,569.754176,TFLOPS,False,PASS,OK,cuBLASLt algo 67 layout=TN per-tensor scale,0,"actual=4096, expected=4096, tolerance=122.88"
isolated,4,NVIDIA GeForce RTX 5090 D v2,12.0,fp8_e5m2,FP8_E5M2,FP32,FP16,4096,4096,4096,0.000000,0.000000,0.000000,TFLOPS,False,NOT_RUN,UNSUPPORTED,,268435456,No cuBLASLt algorithm for fp8_e5m2 (CUBLAS_STATUS_NOT_SUPPORTED); cuBLASLt did not provide a kernel for this precision/layout on this GPU architecture
isolated,4,NVIDIA GeForce RTX 5090 D v2,12.0,fp8_e5m2,FP8_E5M2,FP32,FP16,8192,8192,8192,0.000000,0.000000,0.000000,TFLOPS,False,NOT_RUN,UNSUPPORTED,,268435456,No cuBLASLt algorithm for fp8_e5m2 (CUBLAS_STATUS_NOT_SUPPORTED); cuBLASLt did not provide a kernel for this precision/layout on this GPU architecture
isolated,4,NVIDIA GeForce RTX 5090 D v2,12.0,fp8_e5m2,FP8_E5M2,FP32,FP16,16384,16384,16384,0.000000,0.000000,0.000000,TFLOPS,False,NOT_RUN,UNSUPPORTED,,268435456,No cuBLASLt algorithm for fp8_e5m2 (CUBLAS_STATUS_NOT_SUPPORTED); cuBLASLt did not provide a kernel for this precision/layout on this GPU architecture
isolated,4,NVIDIA GeForce RTX 5090 D v2,12.0,nvfp4,FP4_E2M1,FP32,BF16,4096,4096,4096,0.116768,0.173056,1177.025816,TFLOPS,True,PASS,OK,cuBLASLt NVFP4 block-scaled (VEC16_UE4M3) layout=TN,0,"actual=1024, expected=1024, tolerance=30.72"
isolated,4,NVIDIA GeForce RTX 5090 D v2,12.0,nvfp4,FP4_E2M1,FP32,BF16,8192,8192,8192,1.003200,1.091456,1096.004354,TFLOPS,False,PASS,OK,cuBLASLt NVFP4 block-scaled (VEC16_UE4M3) layout=TN,12191232,"actual=2048, expected=2048, tolerance=61.44"
isolated,4,NVIDIA GeForce RTX 5090 D v2,12.0,nvfp4,FP4_E2M1,FP32,BF16,16384,16384,16384,7.764096,7.779008,1132.919179,TFLOPS,False,PASS,OK,cuBLASLt NVFP4 block-scaled (VEC16_UE4M3) layout=TN,0,"actual=4096, expected=4096, tolerance=122.88"
isolated,4,NVIDIA GeForce RTX 5090 D v2,12.0,fp16,FP16,FP32,FP16,4096,4096,4096,0.631744,0.633600,217.554813,TFLOPS,False,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=1024, expected=1024, tolerance=30.72"
isolated,4,NVIDIA GeForce RTX 5090 D v2,12.0,fp16,FP16,FP32,FP16,8192,8192,8192,4.663840,4.674176,235.752442,TFLOPS,False,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=2048, expected=2048, tolerance=61.44"
isolated,4,NVIDIA GeForce RTX 5090 D v2,12.0,fp16,FP16,FP32,FP16,16384,16384,16384,36.550304,36.558334,240.657175,TFLOPS,True,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=4096, expected=4096, tolerance=122.88"
