mode,device_id,gpu_name,compute_capability,precision,input_type,accumulator_type,output_type,m,n,k,median_ms,p90_ms,throughput,unit,best,validation,status,algorithm,workspace_bytes,message
isolated,0,NVIDIA GeForce RTX 5090,12.0,int4,,,,0,0,0,0.000000,0.000000,0.000000,,False,NOT_RUN,UNSUPPORTED,,0,"cuBLASLt does not provide a dense INT4 GEMM kernel; INT4 Tensor Core is used via inference frameworks (CUTLASS/quantized paths), not standard dense GEMM APIs"
isolated,0,NVIDIA GeForce RTX 5090,12.0,int8,INT8,INT32,INT32,4096,4096,4096,0.182624,0.184576,752.578826,TOPS,False,PASS,OK,cuBLASLt algo 21 layout=TN per-tensor scale,0,"actual=4096, expected=4096, tolerance=1e-06"
isolated,0,NVIDIA GeForce RTX 5090,12.0,int8,INT8,INT32,INT32,8192,8192,8192,1.214688,1.262720,905.180325,TOPS,False,PASS,OK,cuBLASLt algo 21 layout=TN per-tensor scale,0,"actual=8192, expected=8192, tolerance=1e-06"
isolated,0,NVIDIA GeForce RTX 5090,12.0,int8,INT8,INT32,INT32,16384,16384,16384,9.707168,9.725600,906.144136,TOPS,True,PASS,OK,cuBLASLt algo 21 layout=TN per-tensor scale,0,"actual=16384, expected=16384, tolerance=1e-06"
isolated,0,NVIDIA GeForce RTX 5090,12.0,fp8_e4m3,FP8_E4M3,FP32,FP16,4096,4096,4096,0.198592,0.202336,692.066894,TFLOPS,False,PASS,OK,cuBLASLt algo 67 layout=TN per-tensor scale,0,"actual=1024, expected=1024, tolerance=30.72"
isolated,0,NVIDIA GeForce RTX 5090,12.0,fp8_e4m3,FP8_E4M3,FP32,FP16,8192,8192,8192,1.421440,1.427104,773.519546,TFLOPS,True,PASS,OK,cuBLASLt algo 67 layout=TN per-tensor scale,0,"actual=2048, expected=2048, tolerance=61.44"
isolated,0,NVIDIA GeForce RTX 5090,12.0,fp8_e4m3,FP8_E4M3,FP32,FP16,16384,16384,16384,11.501568,11.572896,764.773390,TFLOPS,False,PASS,OK,cuBLASLt algo 67 layout=TN per-tensor scale,0,"actual=4096, expected=4096, tolerance=122.88"
isolated,0,NVIDIA GeForce RTX 5090,12.0,fp8_e5m2,FP8_E5M2,FP32,FP16,4096,4096,4096,0.000000,0.000000,0.000000,TFLOPS,False,NOT_RUN,UNSUPPORTED,,268435456,No cuBLASLt algorithm for fp8_e5m2 (CUBLAS_STATUS_NOT_SUPPORTED); cuBLASLt did not provide a kernel for this precision/layout on this GPU architecture
isolated,0,NVIDIA GeForce RTX 5090,12.0,fp8_e5m2,FP8_E5M2,FP32,FP16,8192,8192,8192,0.000000,0.000000,0.000000,TFLOPS,False,NOT_RUN,UNSUPPORTED,,268435456,No cuBLASLt algorithm for fp8_e5m2 (CUBLAS_STATUS_NOT_SUPPORTED); cuBLASLt did not provide a kernel for this precision/layout on this GPU architecture
isolated,0,NVIDIA GeForce RTX 5090,12.0,fp8_e5m2,FP8_E5M2,FP32,FP16,16384,16384,16384,0.000000,0.000000,0.000000,TFLOPS,False,NOT_RUN,UNSUPPORTED,,268435456,No cuBLASLt algorithm for fp8_e5m2 (CUBLAS_STATUS_NOT_SUPPORTED); cuBLASLt did not provide a kernel for this precision/layout on this GPU architecture
isolated,0,NVIDIA GeForce RTX 5090,12.0,nvfp4,FP4_E2M1,FP32,BF16,4096,4096,4096,0.110144,0.110976,1247.811569,TFLOPS,False,PASS,OK,cuBLASLt NVFP4 block-scaled (VEC16_UE4M3) layout=TN,0,"actual=1024, expected=1024, tolerance=30.72"
isolated,0,NVIDIA GeForce RTX 5090,12.0,nvfp4,FP4_E2M1,FP32,BF16,8192,8192,8192,0.679776,0.703744,1617.461645,TFLOPS,True,PASS,OK,cuBLASLt NVFP4 block-scaled (VEC16_UE4M3) layout=TN,0,"actual=2048, expected=2048, tolerance=61.44"
isolated,0,NVIDIA GeForce RTX 5090,12.0,nvfp4,FP4_E2M1,FP32,BF16,16384,16384,16384,5.705312,5.948384,1541.737484,TFLOPS,False,PASS,OK,cuBLASLt NVFP4 block-scaled (VEC16_UE4M3) layout=TN,0,"actual=4096, expected=4096, tolerance=122.88"
isolated,0,NVIDIA GeForce RTX 5090,12.0,fp16,FP16,FP32,FP16,4096,4096,4096,0.582112,0.585120,236.103963,TFLOPS,False,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=1024, expected=1024, tolerance=30.72"
isolated,0,NVIDIA GeForce RTX 5090,12.0,fp16,FP16,FP32,FP16,8192,8192,8192,4.430592,4.433664,248.163589,TFLOPS,False,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=2048, expected=2048, tolerance=61.44"
isolated,0,NVIDIA GeForce RTX 5090,12.0,fp16,FP16,FP32,FP16,16384,16384,16384,34.602177,34.607105,254.206350,TFLOPS,True,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=4096, expected=4096, tolerance=122.88"
isolated,0,NVIDIA GeForce RTX 5090,12.0,bf16,BF16,FP32,BF16,4096,4096,4096,0.586944,0.592032,234.160256,TFLOPS,False,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=1024, expected=1024, tolerance=30.72"
isolated,0,NVIDIA GeForce RTX 5090,12.0,bf16,BF16,FP32,BF16,8192,8192,8192,4.437600,4.442208,247.771677,TFLOPS,False,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=2048, expected=2048, tolerance=61.44"
isolated,0,NVIDIA GeForce RTX 5090,12.0,bf16,BF16,FP32,BF16,16384,16384,16384,34.626591,34.634399,254.027117,TFLOPS,True,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=4096, expected=4096, tolerance=122.88"
isolated,0,NVIDIA GeForce RTX 5090,12.0,tf32,FP32,FP32,FP32,4096,4096,4096,1.220672,1.223872,112.592860,TFLOPS,False,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,4096,"actual=1024, expected=1024, tolerance=30.72"
isolated,0,NVIDIA GeForce RTX 5090,12.0,tf32,FP32,FP32,FP32,8192,8192,8192,8.950976,8.959072,122.837061,TFLOPS,False,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,16384,"actual=2048, expected=2048, tolerance=61.44"
isolated,0,NVIDIA GeForce RTX 5090,12.0,tf32,FP32,FP32,FP32,12288,12288,12288,29.496864,29.517471,125.804957,TFLOPS,True,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=3072, expected=3072, tolerance=92.16"
isolated,0,NVIDIA GeForce RTX 5090,12.0,fp32,FP32,FP32,FP32,4096,4096,4096,1.740384,1.765088,78.970477,TFLOPS,False,PASS,OK,cuBLASLt algo 20 layout=NN per-tensor scale,2048,"actual=1024, expected=1024, tolerance=0.01024"
isolated,0,NVIDIA GeForce RTX 5090,12.0,fp32,FP32,FP32,FP32,8192,8192,8192,13.209216,13.260032,83.238219,TFLOPS,True,PASS,OK,cuBLASLt algo 20 layout=NN per-tensor scale,8192,"actual=2048, expected=2048, tolerance=0.02048"
isolated,0,NVIDIA GeForce RTX 5090,12.0,fp32,FP32,FP32,FP32,12288,12288,12288,45.287521,45.353214,81.939829,TFLOPS,False,PASS,OK,cuBLASLt algo 20 layout=NN per-tensor scale,18432,"actual=3072, expected=3072, tolerance=0.03072"
isolated,0,NVIDIA GeForce RTX 5090,12.0,fp64,FP64,FP64,FP64,2048,2048,2048,10.015040,10.018368,1.715407,TFLOPS,False,PASS,OK,cuBLASLt algo 22 layout=NN per-tensor scale,0,"actual=512, expected=512, tolerance=1e-06"
isolated,0,NVIDIA GeForce RTX 5090,12.0,fp64,FP64,FP64,FP64,4096,4096,4096,78.405731,78.412323,1.752920,TFLOPS,False,PASS,OK,cuBLASLt algo 22 layout=NN per-tensor scale,0,"actual=1024, expected=1024, tolerance=1e-06"
isolated,0,NVIDIA GeForce RTX 5090,12.0,fp64,FP64,FP64,FP64,6144,6144,6144,261.469543,261.522919,1.774036,TFLOPS,True,PASS,OK,cuBLASLt algo 22 layout=NN per-tensor scale,0,"actual=1536, expected=1536, tolerance=1e-06"
