mode,device_id,gpu_name,compute_capability,precision,input_type,accumulator_type,output_type,m,n,k,median_ms,p90_ms,throughput,unit,best,validation,status,algorithm,workspace_bytes,message
isolated,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,12.0,int4,,,,0,0,0,0.000000,0.000000,0.000000,,False,NOT_RUN,UNSUPPORTED,,0,"cuBLASLt does not provide a dense INT4 GEMM kernel; INT4 Tensor Core is used via inference frameworks (CUTLASS/quantized paths), not standard dense GEMM APIs"
isolated,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,12.0,int8,INT8,INT32,INT32,4096,4096,4096,0.203520,0.203616,675.309323,TOPS,False,PASS,OK,cuBLASLt algo 21 layout=TN per-tensor scale,0,"actual=4096, expected=4096, tolerance=1e-06"
isolated,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,12.0,int8,INT8,INT32,INT32,8192,8192,8192,1.348032,1.354080,815.642084,TOPS,False,PASS,OK,cuBLASLt algo 21 layout=TN per-tensor scale,0,"actual=8192, expected=8192, tolerance=1e-06"
isolated,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,12.0,int8,INT8,INT32,INT32,16384,16384,16384,10.404832,10.417504,845.385405,TOPS,True,PASS,OK,cuBLASLt algo 21 layout=TN per-tensor scale,0,"actual=16384, expected=16384, tolerance=1e-06"
isolated,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,12.0,fp8_e4m3,FP8_E4M3,FP32,FP16,4096,4096,4096,0.190080,0.191168,723.058460,TFLOPS,False,PASS,OK,cuBLASLt algo 35 layout=TN per-tensor scale,0,"actual=1024, expected=1024, tolerance=30.72"
isolated,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,12.0,fp8_e4m3,FP8_E4M3,FP32,FP16,8192,8192,8192,1.288448,1.292608,853.361291,TFLOPS,False,PASS,OK,cuBLASLt algo 35 layout=TN per-tensor scale,0,"actual=2048, expected=2048, tolerance=61.44"
isolated,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,12.0,fp8_e4m3,FP8_E4M3,FP32,FP16,16384,16384,16384,9.716032,9.718080,905.317417,TFLOPS,True,PASS,OK,cuBLASLt algo 35 layout=TN per-tensor scale,0,"actual=4096, expected=4096, tolerance=122.88"
isolated,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,12.0,fp8_e5m2,FP8_E5M2,FP32,FP16,4096,4096,4096,0.000000,0.000000,0.000000,TFLOPS,False,NOT_RUN,UNSUPPORTED,,268435456,No cuBLASLt algorithm for fp8_e5m2 (CUBLAS_STATUS_NOT_SUPPORTED); cuBLASLt did not provide a kernel for this precision/layout on this GPU architecture
isolated,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,12.0,fp8_e5m2,FP8_E5M2,FP32,FP16,8192,8192,8192,0.000000,0.000000,0.000000,TFLOPS,False,NOT_RUN,UNSUPPORTED,,268435456,No cuBLASLt algorithm for fp8_e5m2 (CUBLAS_STATUS_NOT_SUPPORTED); cuBLASLt did not provide a kernel for this precision/layout on this GPU architecture
isolated,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,12.0,fp8_e5m2,FP8_E5M2,FP32,FP16,16384,16384,16384,0.000000,0.000000,0.000000,TFLOPS,False,NOT_RUN,UNSUPPORTED,,268435456,No cuBLASLt algorithm for fp8_e5m2 (CUBLAS_STATUS_NOT_SUPPORTED); cuBLASLt did not provide a kernel for this precision/layout on this GPU architecture
isolated,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,12.0,nvfp4,FP4_E2M1,FP32,BF16,4096,4096,4096,0.107328,0.119616,1280.550802,TFLOPS,False,PASS,OK,cuBLASLt NVFP4 block-scaled (VEC16_UE4M3) layout=TN,0,"actual=1024, expected=1024, tolerance=30.72"
isolated,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,12.0,nvfp4,FP4_E2M1,FP32,BF16,8192,8192,8192,0.729472,0.731616,1507.270540,TFLOPS,False,PASS,OK,cuBLASLt NVFP4 block-scaled (VEC16_UE4M3) layout=TN,0,"actual=2048, expected=2048, tolerance=61.44"
isolated,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,12.0,nvfp4,FP4_E2M1,FP32,BF16,16384,16384,16384,5.469504,5.473568,1608.206743,TFLOPS,True,PASS,OK,cuBLASLt NVFP4 block-scaled (VEC16_UE4M3) layout=TN,0,"actual=4096, expected=4096, tolerance=122.88"
isolated,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,12.0,fp16,FP16,FP32,FP16,4096,4096,4096,0.357056,0.357184,384.922692,TFLOPS,False,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=1024, expected=1024, tolerance=30.72"
isolated,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,12.0,fp16,FP16,FP32,FP16,8192,8192,8192,2.535616,2.536864,433.627041,TFLOPS,False,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=2048, expected=2048, tolerance=61.44"
isolated,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,12.0,fp16,FP16,FP32,FP16,16384,16384,16384,19.228895,19.230495,457.441415,TFLOPS,True,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=4096, expected=4096, tolerance=122.88"
isolated,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,12.0,bf16,BF16,FP32,BF16,4096,4096,4096,0.356960,0.357152,385.026205,TFLOPS,False,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=1024, expected=1024, tolerance=30.72"
isolated,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,12.0,bf16,BF16,FP32,BF16,8192,8192,8192,2.502080,2.503968,439.439044,TFLOPS,False,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=2048, expected=2048, tolerance=61.44"
isolated,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,12.0,bf16,BF16,FP32,BF16,16384,16384,16384,19.221952,19.222912,457.606638,TFLOPS,True,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=4096, expected=4096, tolerance=122.88"
isolated,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,12.0,tf32,FP32,FP32,FP32,4096,4096,4096,0.708992,0.713120,193.851204,TFLOPS,False,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=1024, expected=1024, tolerance=30.72"
isolated,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,12.0,tf32,FP32,FP32,FP32,8192,8192,8192,4.893152,4.895200,224.704153,TFLOPS,True,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=2048, expected=2048, tolerance=61.44"
